电视直播,#genre#

河南卫视,http://iptva.cn/api/M3u8/Index?id=626&card=99982475359
CCTV-1 综合,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV-2 财经,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV-3 综艺,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV-4 中文国际,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV-5 体育,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV-5+ 体育赛事,http://live.cooltv.top/tv/aishang.php?id=cctv5p
CCTV-6 电影,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV-7 国防军事,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV-8 电视剧,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV-9 纪录,http://live.cooltv.top/tv/aishang.php?id=cctv9hd2
CCTV-10 科教,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV-11 戏曲,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV-12 社会与法,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV-13 新闻,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV-14 少儿,http://live.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV-15 音乐,http://live.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV-16 奥林匹克,http://live.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV-16 奥林匹克4K,http://live.cooltv.top/tv/aishang.php?id=cctv164k
CCTV-17 农业农村,http://live.cooltv.top/tv/aishang.php?id=cctv17hd
CCTV-4K,http://live.cooltv.top/tv/cctv4k_backup.php
CCTV-1 综合,http://iptva.cn/api/M3u8/Index?id=597&card=99982475359
CCTV-2 财经,http://iptva.cn/api/M3u8/Index?id=598&card=99982475359
CCTV-3 综艺,http://iptva.cn/api/M3u8/Index?id=599&card=99982475359
CCTV-4 中文国际,http://iptva.cn/api/M3u8/Index?id=600&card=99982475359
CCTV-5 体育,http://iptva.cn/api/M3u8/Index?id=601&card=99982475359
CCTV-5+ 体育赛事,http://iptva.cn/api/M3u8/Index?id=602&card=99982475359
CCTV-6 电影,http://iptva.cn/api/M3u8/Index?id=603&card=99982475359
CCTV-7 国防军事,http://iptva.cn/api/M3u8/Index?id=604&card=99982475359
CCTV-8 电视剧,http://iptva.cn/api/M3u8/Index?id=605&card=99982475359
CCTV-9 纪录,http://iptva.cn/api/M3u8/Index?id=606&card=99982475359
CCTV-10 科教,http://iptva.cn/api/M3u8/Index?id=607&card=99982475359
CCTV-11 戏曲,http://iptva.cn/api/M3u8/Index?id=608&card=99982475359
CCTV-12 社会与法,http://iptva.cn/api/M3u8/Index?id=609&card=99982475359
CCTV-13 新闻,http://iptva.cn/api/M3u8/Index?id=610&card=99982475359
CCTV-14 少儿,http://iptva.cn/api/M3u8/Index?id=611&card=99982475359
CCTV-15 音乐,http://iptva.cn/api/M3u8/Index?id=612&card=99982475359
CCTV-16 奥林匹克,http://iptva.cn/api/M3u8/Index?id=613&card=99982475359
CCTV-17 农业农村,http://iptva.cn/api/M3u8/Index?id=614&card=99982475359
风云足球,http://iptva.cn/api/M3u8/Index?id=615&card=99982475359
湖南卫视,http://iptva.cn/api/M3u8/Index?id=616&card=99982475359
浙江卫视,http://iptva.cn/api/M3u8/Index?id=617&card=99982475359
江苏卫视,http://iptva.cn/api/M3u8/Index?id=618&card=99982475359
东方卫视,http://iptva.cn/api/M3u8/Index?id=619&card=99982475359
北京卫视,http://iptva.cn/api/M3u8/Index?id=620&card=99982475359
天津卫视,http://iptva.cn/api/M3u8/Index?id=621&card=99982475359
广东卫视,http://iptva.cn/api/M3u8/Index?id=622&card=99982475359
深圳卫视,http://iptva.cn/api/M3u8/Index?id=623&card=99982475359
东南卫视,http://iptva.cn/api/M3u8/Index?id=624&card=99982475359
山东卫视,http://iptva.cn/api/M3u8/Index?id=625&card=99982475359
河南卫视,http://iptva.cn/api/M3u8/Index?id=626&card=99982475359
河南卫视,https://live.v1.mk/api/bestv.php?id=hnwshd8m/8000000
河北卫视,http://iptva.cn/api/M3u8/Index?id=627&card=99982475359
安徽卫视,http://iptva.cn/api/M3u8/Index?id=628&card=99982475359
湖北卫视,http://iptva.cn/api/M3u8/Index?id=629&card=99982475359
江西卫视,http://iptva.cn/api/M3u8/Index?id=630&card=99982475359
贵州卫视,http://iptva.cn/api/M3u8/Index?id=631&card=99982475359
重庆卫视,http://iptva.cn/api/M3u8/Index?id=632&card=99982475359
海南卫视,http://iptva.cn/api/M3u8/Index?id=633&card=99982475359
四川卫视,http://iptva.cn/api/M3u8/Index?id=634&card=99982475359
吉林卫视,http://iptva.cn/api/M3u8/Index?id=635&card=99982475359
黑龙江卫视,http://iptva.cn/api/M3u8/Index?id=636&card=99982475359
云南卫视,http://iptva.cn/api/M3u8/Index?id=637&card=99982475359
辽宁卫视,http://iptva.cn/api/M3u8/Index?id=638&card=99982475359
广西卫视,http://iptva.cn/api/M3u8/Index?id=640&card=99982475359
